user_id,blacklist_ip,reason
3024,192.168.248.135,Suspicious IP
5421,192.168.19.28,Suspicious IP
8209,192.168.162.19,Failed logins
5920,192.168.32.39,High-frequency access
5966,192.168.197.150,Suspicious IP
9000,192.168.114.59,Large transaction
227,192.168.245.104,Large transaction
142,192.168.186.38,Large transaction
7062,192.168.42.23,Suspicious IP
733,192.168.232.157,High-frequency access
4125,192.168.187.149,Large transaction
9047,192.168.64.82,Large transaction
3203,192.168.84.34,Large transaction
4584,192.168.159.83,Suspicious IP
2405,192.168.173.73,Suspicious IP
776,192.168.168.154,Failed logins
4180,192.168.175.230,Failed logins
2717,192.168.177.251,High-frequency access
3791,192.168.34.16,High-frequency access
5009,192.168.172.52,High-frequency access
2095,192.168.125.248,Suspicious IP
6294,192.168.30.163,Large transaction
6627,192.168.251.141,Large transaction
5241,192.168.111.241,High-frequency access
7442,192.168.52.206,Suspicious IP
4200,192.168.236.189,Large transaction
9866,192.168.96.119,Large transaction
9337,192.168.4.111,Large transaction
982,192.168.141.7,Large transaction
4297,192.168.240.237,Failed logins
1269,192.168.151.147,High-frequency access
1681,192.168.36.159,Large transaction
3265,192.168.165.227,High-frequency access
5234,192.168.225.243,Suspicious IP
2318,192.168.3.217,Failed logins
798,192.168.90.87,Suspicious IP
3517,192.168.165.53,Large transaction
3873,192.168.180.111,Failed logins
675,192.168.37.231,Failed logins
6553,192.168.240.13,High-frequency access
5293,192.168.194.249,High-frequency access
6443,192.168.54.215,Large transaction
2684,192.168.149.112,Large transaction
892,192.168.4.2,Large transaction
2668,192.168.211.41,Large transaction
2141,192.168.228.18,Large transaction
1295,192.168.38.9,Failed logins
5725,192.168.172.208,Large transaction
7726,192.168.172.78,Failed logins
7161,192.168.245.59,Suspicious IP
4510,192.168.170.85,Failed logins
2302,192.168.199.212,Failed logins
6284,192.168.4.174,Suspicious IP
7382,192.168.229.212,Suspicious IP
756,192.168.53.187,Large transaction
6778,192.168.225.75,High-frequency access
8811,192.168.26.145,Failed logins
4727,192.168.64.171,Failed logins
8629,192.168.65.217,High-frequency access
7941,192.168.167.216,Failed logins
7887,192.168.198.235,Suspicious IP
4370,192.168.85.128,Suspicious IP
1213,192.168.187.232,Suspicious IP
1408,192.168.240.244,Large transaction
7022,192.168.92.209,Large transaction
1170,192.168.10.232,High-frequency access
1331,192.168.101.222,Large transaction
6311,192.168.222.128,High-frequency access
2124,192.168.217.71,Failed logins
