date,weather_location,temperature,weather_condition
2025-01-08,Bordeaux,7.6,Clear
2025-01-24,Bordeaux,0.6,Storm
2025-01-13,Marseille,25.9,Fog
2025-01-13,Paris,-0.9,Clear
2025-01-16,Marseille,31.5,Storm
2025-02-02,Lyon,20.7,Rain
2025-01-28,Paris,25.1,Rain
2025-01-12,Marseille,5.6,Storm
2025-01-14,Paris,4.4,Snow
2025-01-15,Marseille,11.9,Snow
2025-01-27,Bordeaux,26.1,Rain
2025-01-15,Lyon,33.9,Fog
2025-01-16,Toulouse,9.3,Clear
2025-02-01,Toulouse,28.3,Rain
2025-01-11,Bordeaux,20.9,Rain
2025-01-14,Bordeaux,23.3,Snow
2025-01-24,Marseille,22.8,Clear
2025-01-23,Paris,2.9,Clear
2025-01-20,Toulouse,31.5,Clear
2025-01-15,Marseille,21.0,Fog
2025-01-28,Bordeaux,31.9,Fog
2025-01-20,Marseille,-3.2,Storm
2025-01-26,Lyon,-5.0,Clear
2025-01-09,Bordeaux,19.8,Rain
2025-01-24,Lyon,33.8,Rain
2025-01-15,Marseille,1.4,Rain
2025-01-20,Lyon,-1.5,Rain
2025-01-27,Marseille,4.8,Fog
2025-01-09,Lyon,7.3,Fog
2025-01-12,Toulouse,5.0,Rain
2025-01-22,Bordeaux,-1.2,Storm
2025-01-10,Bordeaux,29.5,Rain
2025-01-12,Paris,15.3,Fog
2025-01-30,Paris,22.5,Fog
2025-02-02,Toulouse,29.9,Rain
2025-01-16,Marseille,2.5,Rain
2025-01-14,Bordeaux,1.7,Storm
2025-01-19,Lyon,8.3,Clear
2025-01-19,Lyon,34.2,Rain
2025-01-13,Bordeaux,2.0,Clear
2025-01-21,Bordeaux,3.0,Rain
2025-01-17,Paris,6.1,Rain
2025-01-07,Marseille,-4.3,Rain
2025-01-24,Toulouse,28.8,Snow
2025-02-01,Marseille,32.9,Clear
2025-01-08,Marseille,19.8,Storm
2025-01-16,Paris,2.8,Snow
2025-01-09,Toulouse,-0.8,Storm
2025-01-12,Marseille,-1.8,Storm
2025-01-16,Bordeaux,12.5,Fog
2025-01-13,Toulouse,18.0,Clear
2025-01-29,Lyon,12.1,Fog
2025-01-28,Paris,6.6,Snow
2025-01-16,Bordeaux,-4.6,Rain
2025-01-08,Bordeaux,30.6,Rain
2025-01-30,Marseille,2.1,Clear
2025-01-23,Marseille,-2.2,Storm
2025-01-23,Toulouse,26.4,Clear
2025-02-01,Bordeaux,-2.2,Clear
2025-01-15,Bordeaux,10.4,Fog
2025-01-27,Marseille,2.3,Clear
2025-01-25,Marseille,11.7,Fog
2025-01-11,Bordeaux,1.7,Clear
2025-01-09,Lyon,-3.4,Snow
2025-01-25,Paris,19.3,Storm
2025-01-07,Marseille,13.5,Fog
2025-01-28,Marseille,14.6,Storm
2025-01-10,Toulouse,1.0,Storm
2025-01-06,Lyon,25.5,Rain
2025-01-31,Marseille,30.7,Clear
2025-01-30,Toulouse,29.7,Fog
2025-01-14,Lyon,27.2,Rain
2025-02-02,Marseille,34.7,Storm
2025-01-10,Lyon,-0.5,Storm
2025-01-06,Toulouse,27.0,Clear
2025-01-26,Lyon,22.1,Fog
2025-01-04,Marseille,-2.9,Fog
2025-01-07,Toulouse,13.9,Rain
2025-01-27,Lyon,-2.2,Fog
2025-01-20,Lyon,4.9,Rain
2025-01-13,Paris,12.9,Fog
2025-01-07,Toulouse,4.3,Snow
2025-01-11,Marseille,6.2,Fog
2025-01-17,Lyon,25.2,Storm
2025-01-17,Lyon,16.9,Rain
2025-02-02,Bordeaux,-3.2,Fog
2025-01-03,Bordeaux,-4.3,Storm
2025-01-30,Bordeaux,12.5,Clear
2025-01-29,Bordeaux,21.4,Snow
2025-01-21,Paris,12.7,Snow
2025-01-07,Paris,4.8,Storm
2025-01-16,Lyon,26.0,Storm
2025-01-12,Paris,6.2,Storm
2025-01-31,Lyon,34.5,Snow
2025-01-05,Lyon,29.9,Rain
2025-01-20,Marseille,15.6,Snow
2025-01-17,Bordeaux,26.9,Storm
2025-01-17,Bordeaux,25.3,Clear
2025-01-22,Toulouse,13.2,Snow
2025-01-21,Toulouse,26.6,Snow
2025-01-23,Paris,8.6,Fog
2025-01-16,Paris,0.9,Fog
2025-01-04,Lyon,17.0,Fog
2025-01-18,Paris,0.3,Snow
2025-01-17,Toulouse,34.1,Rain
2025-01-29,Lyon,-4.1,Snow
2025-01-04,Marseille,6.6,Snow
2025-01-11,Bordeaux,2.9,Clear
2025-01-24,Paris,22.4,Clear
2025-01-19,Bordeaux,1.6,Rain
2025-01-29,Bordeaux,34.8,Clear
2025-01-26,Marseille,2.7,Storm
2025-01-19,Paris,7.2,Rain
2025-01-28,Marseille,30.7,Fog
2025-01-05,Toulouse,25.1,Clear
2025-01-31,Marseille,20.3,Rain
2025-02-01,Toulouse,12.6,Snow
2025-02-01,Paris,33.0,Clear
2025-01-22,Marseille,3.3,Storm
2025-01-21,Paris,12.6,Clear
2025-01-10,Paris,-0.5,Rain
2025-01-17,Toulouse,13.4,Snow
2025-01-11,Marseille,30.6,Snow
2025-01-03,Lyon,31.6,Rain
2025-01-07,Toulouse,3.1,Fog
2025-01-27,Paris,29.7,Fog
2025-01-08,Bordeaux,23.6,Rain
2025-01-08,Lyon,30.4,Snow
2025-01-30,Toulouse,31.9,Rain
2025-01-21,Marseille,19.2,Fog
2025-01-08,Paris,4.7,Storm
2025-01-05,Marseille,5.9,Fog
2025-01-09,Marseille,2.3,Snow
2025-01-20,Toulouse,7.3,Storm
2025-01-04,Toulouse,4.3,Storm
2025-01-16,Bordeaux,30.1,Fog
2025-01-22,Bordeaux,23.2,Storm
2025-01-12,Paris,25.8,Fog
2025-01-11,Toulouse,1.6,Storm
2025-01-29,Marseille,24.4,Rain
2025-01-10,Paris,7.7,Rain
2025-01-26,Marseille,18.4,Clear
2025-01-23,Toulouse,32.2,Rain
2025-01-21,Bordeaux,2.6,Rain
2025-01-15,Bordeaux,-0.9,Snow
2025-01-16,Toulouse,6.8,Clear
2025-01-20,Toulouse,31.0,Fog
2025-02-02,Toulouse,8.5,Clear
2025-01-13,Paris,17.7,Rain
2025-01-09,Marseille,13.2,Snow
2025-01-26,Bordeaux,4.0,Fog
2025-01-07,Toulouse,15.3,Rain
2025-01-31,Paris,6.1,Snow
2025-01-31,Toulouse,24.7,Clear
2025-02-01,Lyon,8.9,Fog
2025-01-03,Lyon,27.1,Rain
2025-01-08,Bordeaux,-0.5,Rain
2025-01-06,Lyon,10.0,Snow
2025-01-13,Lyon,5.9,Fog
2025-01-19,Toulouse,-2.3,Clear
2025-01-15,Lyon,21.6,Snow
2025-01-09,Paris,10.3,Clear
2025-01-25,Toulouse,24.9,Snow
2025-02-01,Bordeaux,-3.3,Snow
2025-01-03,Toulouse,2.2,Storm
2025-01-13,Toulouse,16.4,Clear
2025-01-17,Bordeaux,6.8,Clear
2025-01-30,Lyon,17.5,Snow
2025-01-22,Toulouse,4.9,Storm
2025-01-13,Lyon,1.4,Storm
2025-01-28,Bordeaux,21.0,Fog
2025-01-15,Bordeaux,9.2,Clear
2025-01-07,Bordeaux,16.6,Clear
2025-01-26,Paris,23.3,Fog
2025-01-16,Toulouse,22.3,Clear
2025-01-18,Marseille,30.6,Fog
2025-01-28,Paris,0.8,Snow
2025-01-08,Toulouse,9.3,Rain
2025-01-11,Toulouse,18.5,Fog
2025-01-19,Lyon,12.8,Clear
2025-01-12,Toulouse,29.2,Rain
2025-01-25,Marseille,21.1,Storm
2025-01-03,Lyon,20.7,Storm
2025-01-09,Marseille,32.0,Rain
2025-01-19,Toulouse,5.5,Snow
2025-01-21,Bordeaux,26.4,Fog
2025-01-15,Bordeaux,20.4,Storm
2025-01-28,Paris,26.1,Rain
2025-02-01,Toulouse,25.1,Storm
2025-01-06,Toulouse,27.4,Rain
2025-01-04,Paris,17.1,Snow
2025-01-18,Paris,23.5,Storm
2025-01-22,Lyon,-3.7,Fog
2025-01-08,Toulouse,9.3,Rain
